isotope TEXT;organism TEXT;int_alpha REAL;int_beta_gamma REAL;ext_low_beta REAL;ext_beta_gamma REAL;int_low_beta REAL
Ag-110m;Amphibian;0;0.0001089;0;0.0015;0.0000011
Am-241;Amphibian;0.003168;0.000032;0;0.000014;0
Ba-140;Amphibian;0;0.00056372;0;0.001611331;6.24186E-06
C-14;Amphibian;0;0.00002772;0;0.000000059;0.00000028
Ca-45;Amphibian;0;4.41018E-05;0;2.02776E-07;2.76791E-07
Cd-109;Amphibian;0;0.00004929;0;0.00001;0.00000371
Ce-141;Amphibian;0;0.000099;0;0.000043;0.000001
Ce-144;Amphibian;0;0.00065;0;0.00013;0
Cf-252;Amphibian;0.003415921;3.11018E-06;0;3.23493E-07;4.97544E-07
Cl-36;Amphibian;0;0.00016;0;0.0000042;0
Cm-242;Amphibian;0.0035;0;0;0.00000043;0
Cm-243;Amphibian;0.003332;0.000068;0;0.000071;0
Cm-244;Amphibian;0.0033;0;0;0.0000004;0
Co-57;Amphibian;0;0.00000832;0;0.000067;0.00000768
Co-58;Amphibian;0;0.0000418;0;0.00054;0.0000022
Co-60;Amphibian;0;0.00011;0;0.0014;0
Cr-51;Amphibian;0;1.45513E-06;0;1.73765E-05;2.19593E-06
Cs-134;Amphibian;0;0.00013;0;0.00086;0
Cs-135;Amphibian;0;0.00003861;0;0.00000014;0.00000039
Cs-136;Amphibian;0;0.0001287;0;0.0012;0.0000013
Cs-137;Amphibian;0;0.00015;0;0.00032;0
Eu-152;Amphibian;0;0.00008832;0;0.00064;0.00000368
Eu-154;Amphibian;0;0.0001881;0;0.00069;0.0000019
H-3;Amphibian;0;0.000000825;0;2.5E-12;0.000002475
I-125;Amphibian;0;0.00001088;0;0.000019;0.00000612
I-129;Amphibian;0;0.00003393;0;0.000012;0.00000507
I-131;Amphibian;0;0.00012;0;0.00021;0
I-132;Amphibian;0;0.00032;0;0.0013;0
I-133;Amphibian;0;0.00024;0;0.00035;0
Ir-192;Amphibian;0;0.000143292;0;0.000452991;9.15834E-07
La-140;Amphibian;0;0.000337635;0;0.001307749;1.15162E-07
Mn-54;Amphibian;0;0.0000207;0;0.00046;0.0000023
Nb-94;Amphibian;0;0.00013;0;0.00087;0
Nb-95;Amphibian;0;0.00004356;0;0.00042;0.00000044
Ni-59;Amphibian;0;0.000001287;0;0.000000084;0.000002613
Ni-63;Amphibian;0;0.000008712;0;3.8E-09;0.000001188
Np-237;Amphibian;0.002744;0.000028;0;0.000016;0
P-32;Amphibian;0;0.00037;0;0.000031;0
P-33;Amphibian;0;0.00004356;0;0.00000019;0.00000044
Pa-231;Amphibian;0.002866198;3.4964E-05;0;2.24093E-05;7.57896E-06
Pb-210;Amphibian;0;0.0002352;0;0.000011;0.0000048
Po-210;Amphibian;0.0031;0;0;4.7E-09;0
Pu-238;Amphibian;0.0032;0;0;0.00000039;0
Pu-239;Amphibian;0.003;0;0;0.00000018;0
Pu-240;Amphibian;0.003;0;0;0.00000037;0
Pu-241;Amphibian;0.000000062;0.000000837;0;1.1E-09;0.000002201
Ra-226;Amphibian;0.01344;0.00056;0;0.001;0
Ra-228;Amphibian;0;0.000291;0;0.00055;0.000009
Ru-103;Amphibian;0;0.00007546;0;0.00026;0.00000154
Ru-106;Amphibian;0;0.00069;0;0.00025;0
S-35;Amphibian;0;0.00002744;0;0.000000062;0.00000056
Sb-124;Amphibian;0;0.00024;0;0.001;0
Sb-125;Amphibian;0;0.0000672;0;0.00024;0.0000028
Se-75;Amphibian;0;0.00001827;0;0.00021;0.00000273
Se-79;Amphibian;0;0.00003168;0;0.000000077;0.00000032
Sr-89;Amphibian;0;0.00031;0;0.000023;0
Sr-90;Amphibian;0;0.00059;0;0.000063;0
Tc-99;Amphibian;0;0.000058;0;0.00000037;0
Te-129m;Amphibian;0;0.0003366;0;0.000061;0.0000034
Te-132;Amphibian;0;0.000396;0;0.0014;0.000004
Th-227;Amphibian;0.003366;0.000034;0;0.000058;0
Th-228;Amphibian;0.01843;0.00057;0;0.00092;0
Th-230;Amphibian;0.0027;0;0;0.00000041;0
Th-231;Amphibian;0;0.000091;0;0.0000099;0.000009
Th-232;Amphibian;0.0023;0;0;0.00000029;0
Th-234;Amphibian;0;0.00046;0;0.000063;0
U-234;Amphibian;0.0028;0;0;0.00000037;0
U-235;Amphibian;0.002565;0.000135;0;0.000095;0
U-238;Amphibian;0.0024;0;0;0.00000027;0
Zn-65;Amphibian;0;1.55605E-05;0;0.000322669;2.69992E-06
Zr-95;Amphibian;0;0.000085;0;0.00041;0
Ag-110m;Benthic fish;0;0.00025;0;0.0014;0
Am-241;Benthic fish;0.003168;0.000032;0;0.000011;0
Ba-140;Benthic fish;0;0.000718714;0;0.00145628;6.24186E-06
C-14;Benthic fish;0;0.00002871;0;0.000000017;0.00000029
Ca-45;Benthic fish;0;4.42431E-05;0;6.13765E-08;2.76792E-07
Cd-109;Benthic fish;0;0.00005452;0;0.0000053;0.00000348
Ce-141;Benthic fish;0;0.0001089;0;0.000037;0.0000011
Ce-144;Benthic fish;0;0.00072;0;0.000062;0
Cf-252;Benthic fish;0.003415921;3.31972E-06;0;1.26076E-07;4.97544E-07
Cl-36;Benthic fish;0;0.00016;0;0.0000013;0
Cm-242;Benthic fish;0.0035;0;0;0.00000016;0
Cm-243;Benthic fish;0.003298;0.000102;0;0.000062;0
Cm-244;Benthic fish;0.0033;0;0;0.00000014;0
Co-57;Benthic fish;0;0.00001632;0;0.000059;0.00000768
Co-58;Benthic fish;0;0.0000931;0;0.00049;0.0000019
Co-60;Benthic fish;0;0.00023;0;0.0013;0
Cr-51;Benthic fish;0;3.30346E-06;0;1.55282E-05;2.19593E-06
Cs-134;Benthic fish;0;0.00021;0;0.00078;0
Cs-135;Benthic fish;0;0.00003861;0;0.000000041;0.00000039
Cs-136;Benthic fish;0;0.00024;0;0.0011;0
Cs-137;Benthic fish;0;0.00019;0;0.00028;0
Eu-152;Benthic fish;0;0.000147;0;0.00058;0.000003
Eu-154;Benthic fish;0;0.0002574;0;0.00063;0.0000026
H-3;Benthic fish;0;0.000000825;0;3.7E-13;0.000002475
I-125;Benthic fish;0;0.00001875;0;0.000011;0.00000625
I-129;Benthic fish;0;0.00003916;0;0.0000073;0.00000484
I-131;Benthic fish;0;0.00014;0;0.00019;0
I-132;Benthic fish;0;0.00045;0;0.0011;0
I-133;Benthic fish;0;0.00028;0;0.00031;0
Ir-192;Benthic fish;0;0.000191681;0;0.000404607;9.15834E-07
La-140;Benthic fish;0;0.000459673;0;0.001185671;1.15162E-07
Mn-54;Benthic fish;0;0.00006336;0;0.00042;0.00000264
Nb-94;Benthic fish;0;0.00022;0;0.00079;0
Nb-95;Benthic fish;0;0.00008316;0;0.00038;0.00000084
Ni-59;Benthic fish;0;0.00000136;0;0.000000023;0.00000264
Ni-63;Benthic fish;0;0.000008712;0;1.1E-09;0.000001188
Np-237;Benthic fish;0.002744;0.000056;0;0.000012;0
P-32;Benthic fish;0;0.00039;0;0.00001;0
P-33;Benthic fish;0;0.00004356;0;0.000000059;0.00000044
Pa-231;Benthic fish;0.002866198;3.90388E-05;0;1.8573E-05;7.57896E-06
Pb-210;Benthic fish;0;0.000245;0;0.0000038;0.000005
Po-210;Benthic fish;0.0031;0;0;4.3E-09;0
Pu-238;Benthic fish;0.0032;0;0;0.00000014;0
Pu-239;Benthic fish;0.003;0;0;0.000000078;0
Pu-240;Benthic fish;0.003;0;0;0.00000013;0
Pu-241;Benthic fish;0.000000062;0.000000837;0;8.2E-10;0.000002201
Ra-226;Benthic fish;0.01425;0.00075;0;0.00091;0
Ra-228;Benthic fish;0;0.0003395;0;0.00049;0.0000105
Ru-103;Benthic fish;0;0.000098;0;0.00023;0.000002
Ru-106;Benthic fish;0;0.00079;0;0.00015;0
S-35;Benthic fish;0;0.00002744;0;0.000000018;0.00000056
Sb-124;Benthic fish;0;0.00034;0;0.00093;0
Sb-125;Benthic fish;0;0.00009312;0;0.00021;0.00000288
Se-75;Benthic fish;0;0.00004136;0;0.00019;0.00000264
Se-79;Benthic fish;0;0.00003168;0;0.000000023;0.00000032
Sr-89;Benthic fish;0;0.00033;0;0.0000071;0
Sr-90;Benthic fish;0;0.00063;0;0.000021;0
Tc-99;Benthic fish;0;0.000058;0;0.00000011;0
Te-129m;Benthic fish;0;0.0003564;0;0.000041;0.0000036
Te-132;Benthic fish;0;0.00055;0;0.0013;0
Th-227;Benthic fish;0.003366;0.000034;0;0.000051;0
Th-228;Benthic fish;0.01824;0.00076;0;0.00082;0
Th-230;Benthic fish;0.0027;0;0;0.00000024;0
Th-231;Benthic fish;0;0.000091;0;0.0000067;0.000009
Th-232;Benthic fish;0.0023;0;0;0.00000014;0
Th-234;Benthic fish;0;0.0005;0;0.000029;0
U-234;Benthic fish;0.0028;0;0;0.00000015;0
U-235;Benthic fish;0.002565;0.000135;0;0.000082;0
U-238;Benthic fish;0.0024;0;0;0.000000095;0
Zn-65;Benthic fish;0;4.40244E-05;0;0.000294207;2.69992E-06
Zr-95;Benthic fish;0;0.00012;0;0.00037;0
Ag-110m;Bird;0;0.00026;0;0.0014;0
Am-241;Bird;0.003168;0.000032;0;0.000011;0
Ba-140;Bird;0;0.000729821;0;0.001445117;6.24186E-06
C-14;Bird;0;0.00002871;0;0.000000018;0.00000029
Ca-45;Bird;0;4.42401E-05;0;6.43594E-08;2.76792E-07
Cd-109;Bird;0;0.00005452;0;0.0000052;0.00000348
Ce-141;Bird;0;0.0001089;0;0.000037;0.0000011
Ce-144;Bird;0;0.00072;0;0.000059;0
Cf-252;Bird;0.003415921;3.32065E-06;0;1.24369E-07;4.97544E-07
Cl-36;Bird;0;0.00016;0;0.0000014;0
Cm-242;Bird;0.0035;0;0;0.00000016;0
Cm-243;Bird;0.003298;0.000102;0;0.000062;0
Cm-244;Bird;0.0033;0;0;0.00000014;0
Co-57;Bird;0;0.00001656;0;0.000059;0.00000744
Co-58;Bird;0;0.00009702;0;0.00048;0.00000198
Co-60;Bird;0;0.00024;0;0.0013;0
Cr-51;Bird;0;3.43877E-06;0;1.53929E-05;2.19593E-06
Cs-134;Bird;0;0.00022;0;0.00077;0
Cs-135;Bird;0;0.00003861;0;0.000000043;0.00000039
Cs-136;Bird;0;0.00025;0;0.0011;0
Cs-137;Bird;0;0.00019;0;0.00028;0
Eu-152;Bird;0;0.0001568;0;0.00057;0.0000032
Eu-154;Bird;0;0.0002574;0;0.00062;0.0000026
H-3;Bird;0;0.000000825;0;3.6E-13;0.000002475
I-125;Bird;0;0.000019;0;0.00001;0.000006
I-129;Bird;0;0.00003916;0;0.0000071;0.00000484
I-131;Bird;0;0.00014;0;0.00019;0
I-132;Bird;0;0.00046;0;0.0011;0
I-133;Bird;0;0.00028;0;0.0003;0
Ir-192;Bird;0;0.000195219;0;0.000401071;9.15834E-07
La-140;Bird;0;0.000468668;0;0.001176642;1.15162E-07
Mn-54;Bird;0;0.00006693;0;0.00042;0.00000207
Nb-94;Bird;0;0.00022;0;0.00078;0
Nb-95;Bird;0;0.00008613;0;0.00038;0.00000087
Ni-59;Bird;0;0.00000136;0;0.000000025;0.00000264
Ni-63;Bird;0;0.000008712;0;1.1E-09;0.000001188
Np-237;Bird;0.002744;0.000056;0;0.000012;0
P-32;Bird;0;0.00039;0;0.0000098;0
P-33;Bird;0;0.00004356;0;0.000000061;0.00000044
Pa-231;Bird;0.002866198;3.91924E-05;0;1.84045E-05;7.57896E-06
Pb-210;Bird;0;0.000245;0;0.0000039;0.000005
Po-210;Bird;0.0031;0;0;4.2E-09;0
Pu-238;Bird;0.0032;0;0;0.00000014;0
Pu-239;Bird;0.003;0;0;0.000000077;0
Pu-240;Bird;0.003;0;0;0.00000013;0
Pu-241;Bird;0.000000062;0.000000837;0;8.2E-10;0.000002201
Ra-226;Bird;0.01425;0.00075;0;0.0009;0
Ra-228;Bird;0;0.0003492;0;0.00049;0.0000108
Ru-103;Bird;0;0.0001078;0;0.00023;0.0000022
Ru-106;Bird;0;0.00079;0;0.00015;0
S-35;Bird;0;0.00002744;0;0.000000019;0.00000056
Sb-124;Bird;0;0.00035;0;0.00092;0
Sb-125;Bird;0;0.00009506;0;0.00021;0.00000294
Se-75;Bird;0;0.00004324;0;0.00019;0.00000276
Se-79;Bird;0;0.00003168;0;0.000000024;0.00000032
Sr-89;Bird;0;0.00033;0;0.0000071;0
Sr-90;Bird;0;0.00063;0;0.00002;0
Tc-99;Bird;0;0.000058;0;0.00000012;0
Te-129m;Bird;0;0.0003564;0;0.000041;0.0000036
Te-132;Bird;0;0.00056;0;0.0013;0
Th-227;Bird;0.003366;0.000034;0;0.000051;0
Th-228;Bird;0.01824;0.00076;0;0.00081;0
Th-230;Bird;0.0027;0;0;0.00000024;0
Th-231;Bird;0;0.000091;0;0.0000066;0.000009
Th-232;Bird;0.0023;0;0;0.00000014;0
Th-234;Bird;0;0.0005;0;0.000028;0
U-234;Bird;0.0028;0;0;0.00000015;0
U-235;Bird;0.002565;0.000135;0;0.000081;0
U-238;Bird;0.0024;0;0;0.000000095;0
Zn-65;Bird;0;4.64301E-05;0;0.000291801;2.69992E-06
Zr-95;Bird;0;0.00013;0;0.00037;0
Ag-110m;Mollusc - bivalve;0;0.0001287;0;0.0015;0.0000013
Am-241;Mollusc - bivalve;0.003168;0.000032;0;0.000014;0
Ba-140;Mollusc - bivalve;0;0.000589597;0;0.001585354;6.24186E-06
C-14;Mollusc - bivalve;0;0.00002772;0;0.000000045;0.00000028
Ca-45;Mollusc - bivalve;0;4.41479E-05;0;1.56619E-07;2.76791E-07
Cd-109;Mollusc - bivalve;0;0.00005076;0;0.0000092;0.00000324
Ce-141;Mollusc - bivalve;0;0.000099;0;0.000042;0.000001
Ce-144;Mollusc - bivalve;0;0.00067;0;0.00011;0
Cf-252;Mollusc - bivalve;0.003415921;3.16387E-06;0;2.73875E-07;4.97544E-07
Cl-36;Mollusc - bivalve;0;0.00016;0;0.0000033;0
Cm-242;Mollusc - bivalve;0.0035;0;0;0.00000036;0
Cm-243;Mollusc - bivalve;0.003298;0.000068;0;0.00007;0
Cm-244;Mollusc - bivalve;0.0033;0;0;0.00000033;0
Co-57;Mollusc - bivalve;0;0.00000935;0;0.000066;0.00000765
Co-58;Mollusc - bivalve;0;0.00004896;0;0.00053;0.00000204
Co-60;Mollusc - bivalve;0;0.00012;0;0.0014;0
Cr-51;Mollusc - bivalve;0;1.71405E-06;0;1.71176E-05;2.19593E-06
Cs-134;Mollusc - bivalve;0;0.00014;0;0.00085;0
Cs-135;Mollusc - bivalve;0;0.00003861;0;0.0000001;0.00000039
Cs-136;Mollusc - bivalve;0;0.0001485;0;0.0012;0.0000015
Cs-137;Mollusc - bivalve;0;0.00016;0;0.00031;0
Eu-152;Mollusc - bivalve;0;0.000097;0;0.00063;0.000003
Eu-154;Mollusc - bivalve;0;0.000198;0;0.00068;0.000002
H-3;Mollusc - bivalve;0;0.000000825;0;1.5E-12;0.000002475
I-125;Mollusc - bivalve;0;0.00001206;0;0.000017;0.00000594
I-129;Mollusc - bivalve;0;0.0000352;0;0.000011;0.0000048
I-131;Mollusc - bivalve;0;0.00012;0;0.00021;0
I-132;Mollusc - bivalve;0;0.00034;0;0.0013;0
I-133;Mollusc - bivalve;0;0.00025;0;0.00034;0
Ir-192;Mollusc - bivalve;0;0.000150325;0;0.000445962;9.15834E-07
La-140;Mollusc - bivalve;0;0.00035773;0;0.001287589;1.15162E-07
Mn-54;Mollusc - bivalve;0;0.00002668;0;0.00046;0.00000232
Nb-94;Mollusc - bivalve;0;0.00014;0;0.00086;0
Nb-95;Mollusc - bivalve;0;0.0000495;0;0.00042;0.0000005
Ni-59;Mollusc - bivalve;0;0.000001326;0;0.000000064;0.000002574
Ni-63;Mollusc - bivalve;0;0.000008712;0;2.9E-09;0.000001188
Np-237;Mollusc - bivalve;0.002744;0.000028;0;0.000015;0
P-32;Mollusc - bivalve;0;0.00038;0;0.000024;0
P-33;Mollusc - bivalve;0;0.00004356;0;0.00000015;0.00000044
Pa-231;Mollusc - bivalve;0.002866198;3.57712E-05;0;2.1683E-05;7.57896E-06
Pb-210;Mollusc - bivalve;0;0.0002352;0;0.0000087;0.0000048
Po-210;Mollusc - bivalve;0.0031;0;0;4.6E-09;0
Pu-238;Mollusc - bivalve;0.0032;0;0;0.00000032;0
Pu-239;Mollusc - bivalve;0.003;0;0;0.00000015;0
Pu-240;Mollusc - bivalve;0.003;0;0;0.00000031;0
Pu-241;Mollusc - bivalve;0.000000062;0.000000837;0;0.000000001;0.000002201
Ra-226;Mollusc - bivalve;0.01344;0.00056;0;0.001;0
Ra-228;Mollusc - bivalve;0;0.0003007;0;0.00054;0.0000093
Ru-103;Mollusc - bivalve;0;0.00007938;0;0.00026;0.00000162
Ru-106;Mollusc - bivalve;0;0.00072;0;0.00022;0
S-35;Mollusc - bivalve;0;0.00002744;0;0.000000048;0.00000056
Sb-124;Mollusc - bivalve;0;0.00026;0;0.001;0
