;Amphibian;Benthic fish;Bird;Crustacean;Insect larvae;Mammal;Mollusc - bivalve;Mollusc - gastropod;Pelagic fish;Phytoplankton;Reptile;Vascular plant;Zooplankton
Ag-110m;0.1698;94.17616939;0.3914;108.342685;215.87569;0.5563;103.5778172;109.183525;0.0998;0.022146795;93.44825189;107.5413338;0.70048
Am-241;102.112654;27.09660709;102.112651;334.5894261;65.31893026;102.1126489;333.4979874;334.0437068;24.09516168;42.64374388;104.8841079;47.64660857;55.496019
Ba-140;0.102068067;3.435709524;2.577155204;4.68880875;9.023226731;0.148941309;4.329033495;4.420135228;0.126220815;0.010260433;3.414557129;4.390706048;0.23686437
C-14;5.140800059;5.324400122;5.324400018;5.140806444;5.140810922;5.324400012;5.140800322;5.140800859;5.324400018;0.110372122;5.265224569;0.242359876;4.9572013
Ca-45;0.055416591;0.064529014;0.024664696;0.03001923;0.00582487;0.01772027;0.033379308;0.033367632;0.064482534;0.009501352;0.022609809;0.013068235;0.001746675
Cd-109;0.10200552;0.989501516;0.015677695;4.06846359;14.25385787;0.111554114;11.74521933;11.76803722;0.131926283;0.095601707;0.98709566;2.774097518;9.052694424
Ce-141;0.017474985;7.193079597;0.495119296;11.72039134;22.57918321;0.019208184;8.248209795;8.826731955;0.019212184;0.620043361;7.269036038;12.47988706;0.07871213
Ce-144;0.11121618;12.14418643;3.177057694;120.3791454;236.7088308;0.124804326;22.01660258;45.15995626;0.123115307;0.863174372;12.2425057;99.12135144;0.116014723
Cf-252;110.0074634;28.49784153;110.0081409;20.57851354;85.77222164;110.0082597;355.2422396;355.287066;28.46343277;201.5642397;110.0443158;46.21722865;18.35431179
Cl-36;0.199636019;0.199633119;0.199633219;0.137300876;0.137297876;0.199632799;0.199635119;0.187163131;0.199633219;0.016936725;0.195085832;0.028489434;0.09989691
Cm-242;2.69500043;29.16243392;2.69500016;8.765641903;8.781282805;2.69500011;0.600631085;0.60469798;29.15993139;207.6838302;2.713140555;0.095803488;8.750001
Cm-243;2.570947;28.53176495;2.547376;9.645277916;10.91219003;2.547369;1.656749182;1.725096793;27.56202999;197.7842811;3.55918818;1.406329723;8.347086
Cm-244;2.5410004;27.4958393;2.54100014;8.264546969;8.278780181;2.541000096;0.566161828;0.569915884;27.49364959;197.2440089;2.576630399;0.089953597;8.25000095
Co-57;0.00732098;3.286215379;0.027278793;3.994278969;7.937849893;0.010808061;3.699959777;3.862946239;0.008891535;0.017360453;3.302351952;3.968812562;0.051152231
Co-58;0.011735555;27.23953743;0.072562045;31.14609054;62.2503119;0.034119192;29.49649944;30.58658164;0.022140909;0.012194304;27.09515189;31.12549703;0.036104769
Co-60;0.026844444;72.26073019;0.169323415;77.85634265;155.6187468;0.077533333;77.88841453;77.84520698;0.049875757;0.031154298;70.76629964;77.8102157;0.090336923
Cr-51;0.000543786;0.208781565;0.00020133;0.253686858;0.497811262;0.014990399;0.238942965;0.24728816;0.001930049;0.00258931;0.220077643;0.246431613;0.009288124
Cs-134;0.514983301;55.35641209;0.499131602;64.58856834;129.0566655;0.634988403;59.57098933;61.66897694;0.708670186;0.008148501;55.35487286;64.48284493;0.006144165
Cs-135;0.15732187;0.136965283;0.090112882;0.222574158;0.355255132;0.090112869;0.012149776;0.024060354;0.134092775;0.00507127;0.159260251;0.202334826;0.003296157
Cs-136;0.525605767;77.87744836;0.567420003;91.21406174;182.306435;0.771185204;84.09444737;84.08785307;0.776397347;0.010439957;77.19220657;91.10722017;0.007337455
Cs-137;0.593539194;20.25788473;0.430683202;26.09710682;52.04044809;0.475968802;21.73997632;23.13863473;0.607044445;0.00993118;20.52292485;25.95816178;0.007205902
Eu-152;0.571866808;0.147122907;0.95721393;0.245981798;0.405002393;1.196334913;0.303139741;0.276938477;0.010821373;0.011276245;1.058796827;0.174251925;0.07551
Eu-154;1.114858231;0.166092;1.525271264;0.355682062;0.529372221;1.81842343;0.457740736;0.420231974;0.017370706;0.020434657;1.646915121;0.210711778;0.14119
H-3;8.25E-06;8.25E-06;8.25E-06;8.25E-06;8.25E-06;8.25E-06;8.25E-06;8.25E-06;8.25E-06;8.23E-06;8.23E-06;8.25E-06;8.25E-06
I-125;0.009333052;0.799294024;0.001456081;1.719887369;3.437715401;0.012850953;1.219296164;1.505285568;0.011478369;0.001300618;0.793441306;1.719162622;0.002059337
I-129;0.015664959;0.539612448;0.00210509;1.077488743;2.151131263;0.017881554;0.791472734;0.934484064;0.016718205;0.002458523;0.545307997;1.076148939;0.003846223
I-131;0.038434564;13.64425724;0.005661658;17.90144228;34.36403407;0.051136085;15.04118242;15.75612267;0.044785324;0.003725253;13.58897352;17.89872551;0.006246286
I-132;0.10323217;78.87822691;0.019078304;107.3757291;214.7399811;0.176195917;93.07858696;93.07276696;0.141356734;0.004863906;82.48430006;100.2161453;0.007985143
I-133;0.076799127;22.27811273;0.011243315;33.65041467;67.29204506;0.09902679;24.35702283;26.50184359;0.089500649;0.003859614;22.01155204;32.21729501;0.006912
Ir-192;0.180568086;186.1022084;5.543467812;69.36081678;133.0159039;0.37604055;85.42096972;84.6987783;128.9627202;0.880330641;58.43130338;76.46781563;0.547389678
La-140;0.082085159;229.949194;0.113270826;295.482491;588.6156624;0.133670775;250.6071107;262.9697384;0.059993834;0.054933354;230.1163389;287.2856488;0.216238714
Mn-54;0.020892395;20.59169723;0.054565847;23.32764563;46.68405995;0.035793901;22.70327419;23.00983448;0.191472;0.001911637;20.38114497;23.34348497;0.08573
Nb-94;0.559331839;0.112714949;0.945869266;0.200515712;0.323183781;1.246519487;0.249981744;0.225062437;0.007575887;0.232764592;1.032744492;0.410353951;0.066514794
